nome,CPF
Clara Fernandes,13318441342
Catarina da Mata,39653359369
Henrique Correia,54892236722
Gustavo Fernandes,94335443561
Kevin Rezende,68479422417
Juan Aragão,97794471799
Daniel Lima,6376339932
Theo da Paz,38820219275
Isabel da Conceição,99676748948
Gabriel da Mota,16186770379
Laura Pereira,38582233547
Rebeca Farias,13698216331
Clara Fernandes,13318441342
Vinicius Silva,84029858303
Cecília Cunha,59942846908
Luiz Fernando Sales,40580905964
Vicente da Cruz,71142571539
Gustavo Fernandes,94335443561
Raul Costa,65190560485
Alice Ribeiro,79434859146
Enzo Gabriel Barros,36986246238
Melissa da Costa,98790405332
Carolina Cardoso,13632489399
Henrique Correia,54892236722
Maria Julia Farias,41503618742
Eloah Peixoto,29160059357
Laura Jesus,91767912959
Maria Julia Silveira,76561566371
Helena da Rosa,23177173938
Guilherme Silva,75682314946
