nome,CPF
Cauã Gonçalves,33376382075
Rebeca Martins,48959115228
Marcelo Freitas,75819074041
Benício Jesus,27566478159
Raquel da Luz,46775902997
Thales Ribeiro,25706280170
Matheus Monteiro,72417338102
Ana Laura Costela,44974439446
Ana Vitória Peixoto,15856310012
Ryan Lopes,28223676608
Erick Silveira,37982789213
Davi Lucas Viana,59878114978
Renan Carvalho,88073590886
Brenda da Luz,63936882710
Catarina Nunes,57979907302
Igor Gomes,67536646529
Catarina das Neves,37732925619
Caio Moreira,17370193978
Maria Clara Ramos,80478655517
Lívia Ribeiro,483570596
Luigi Aragão,12911346640
Samuel Rodrigues,25568990262
Nina Freitas,81009883177
Bianca Carvalho,49795821850
João Gabriel Aragão,64691292596
Milena da Cunha,7202170041
Davi Lucas Melo,14252534132
Raquel Costa,67227559655
Olivia Viana,94065527181
Cauã Gonçalves,33376382075
